Row Labels,Count of Number,Average of Weight
DELTA,294,6.32
DELTA_DELIVER_DIRECT_EXPRESS,119,4.88
DELTA_DELIVER_DIRECT_STANDARD,175,7.29
DHL,4846,1.19
DHL_EXPEDITED,448,1.01
DHL_EXPEDITED_MAX,1429,0.93
DHL_GROUND,2969,1.34
FEDEX,44678,4.23
FEDEX_EXPRESS_SAVER,2604,2.07
FEDEX_FIRST_OVERNIGHT,166,2.53
FEDEX_GROUND,10843,4.39
FEDEX_HOME_DELIVERY,9195,10.27
FEDEX_INTERNATIONAL_ECONOMY,19,13.62
FEDEX_INTERNATIONAL_GROUND,3,21.05
FEDEX_PRIORITY_OVERNIGHT,3704,2.51
FEDEX_STANDARD_OVERNIGHT,1311,3.56
FEDEX_TWO_DAY,16833,1.6
GLS,7,2.64
GLS_GROUND_PRIORITY,7,2.64
PROMED,1200,9.91
PROMED_OVERNIGHT,1200,9.91
UPS,19557,7.49
UPS_GROUND,12751,9.72
UPS_NEXT_DAY_AIR,3374,3.12
UPS_NEXT_DAY_AIR_SAVER,48,5.25
UPS_SECOND_DAY_AIR,2895,3.16
UPS_SURE_POST,318,5.37
UPS_THREE_DAY_SELECT,165,4.85
UPS_WORLDWIDE_EXPEDITED,5,22.79
USPS_GROUND_ADVANTAGE,1,5.69
USPS,103765,1.67
UPS_GROUND,11,2.09
USPS_FIRST_CLASS_MAIL,952,0.53
USPS_GROUND_ADVANTAGE,99675,1.67
USPS_PARCEL_SELECT,74,3.08
USPS_PRIORITY_MAIL,3034,1.88
USPS_PRIORITY_MAIL_INTERNATIONAL,19,2.3
Grand Total,174347,3.03
