tracking,service,weight,zone,current_cost,xparcel_cost,savings,savings_pct,ship_date,delivery_date,weight_bucket
94498229938781463310,USPS Priority,0.14078042699305773,3,10.53,4.109999999999999,6.42,60.96866096866097,2024-10-15 00:00:00.000000000,2024-10-18 00:00:00.000000000,0-4oz
76229077398486,FedEx Express,0.9030364292752563,6,47.8,4.74,43.059999999999995,90.0836820083682,2024-10-15 00:04:08.633093525,2024-10-18 00:04:08.633093525,8oz-1lb
83769241605245,FedEx Ground,0.3950237080636348,2,8.19,4.04,4.1499999999999995,50.67155067155067,2024-10-15 00:08:17.266187050,2024-10-18 00:08:17.266187050,4-8oz
55926879066414,FedEx Ground,0.27388276613278595,6,10.48,4.27,6.210000000000001,59.255725190839705,2024-10-15 00:12:25.899280575,2024-10-18 00:12:25.899280575,4-8oz
73411547553133,FedEx Ground,0.050887461138703884,3,8.44,3.8,4.64,54.976303317535546,2024-10-15 00:16:34.532374100,2024-10-18 00:16:34.532374100,0-4oz
1Z79955104,UPS Next Day Air,0.050878887574381554,2,34.73,3.99,30.739999999999995,88.51137345234666,2024-10-15 00:20:43.165467625,2024-10-18 00:20:43.165467625,0-4oz
1Z58451910,UPS SurePost,0.05,4,8.11,3.89,4.219999999999999,52.03452527743525,2024-10-15 00:24:51.798561151,2024-10-18 00:24:51.798561151,0-4oz
1Z93295969,UPS Ground,0.6033692593439818,4,9.67,4.390000000000001,5.279999999999999,54.6018614270941,2024-10-15 00:29:00.431654676,2024-10-18 00:29:00.431654676,8oz-1lb
13258978415511,FedEx Ground,0.27572464608817937,6,10.48,4.27,6.210000000000001,59.255725190839705,2024-10-15 00:33:09.064748201,2024-10-18 00:33:09.064748201,4-8oz
87334668372925,FedEx Ground,0.36937501851137705,3,8.77,4.05,4.72,53.81984036488028,2024-10-15 00:37:17.697841726,2024-10-18 00:37:17.697841726,4-8oz
94186520689678535365,USPS Priority,0.05,3,10.4,4.01,6.390000000000001,61.44230769230769,2024-10-15 00:41:26.330935251,2024-10-18 00:41:26.330935251,0-4oz
1Z69158846,UPS Ground,1.0510672425474936,4,10.0,5.19,4.81,48.1,2024-10-15 00:45:34.964028776,2024-10-18 00:45:34.964028776,1-2lb
1Z48987056,UPS Ground,0.5359288630064025,4,9.61,4.390000000000001,5.219999999999999,54.31841831425598,2024-10-15 00:49:43.597122302,2024-10-18 00:49:43.597122302,8oz-1lb
1Z42056519,UPS Next Day Air,0.0716062875746841,3,37.41,4.109999999999999,33.3,89.01363271852446,2024-10-15 00:53:52.230215827,2024-10-18 00:53:52.230215827,0-4oz
1Z18654932,UPS Next Day Air,0.06020369662489901,5,42.5,4.15,38.35,90.23529411764706,2024-10-15 00:58:00.863309352,2024-10-18 00:58:00.863309352,0-4oz
1Z44509864,UPS Next Day Air,0.060783426849677115,5,42.51,4.15,38.36,90.23759115502234,2024-10-15 01:02:09.496402877,2024-10-18 01:02:09.496402877,0-4oz
27339948819625,FedEx Ground,0.10882611883814314,6,10.27,4.119999999999999,6.15,59.883154819863684,2024-10-15 01:06:18.129496402,2024-10-18 01:06:18.129496402,0-4oz
1Z64228148,UPS SurePost,0.22317834925825633,7,9.9,4.1899999999999995,5.710000000000001,57.67676767676768,2024-10-15 01:10:26.762589928,2024-10-18 01:10:26.762589928,0-4oz
86359312956933,FedEx Ground,0.169661120034101,3,8.58,3.9,4.68,54.54545454545454,2024-10-15 01:14:35.395683453,2024-10-18 01:14:35.395683453,0-4oz
1Z27119819,UPS Ground,0.10326689776618245,5,9.75,4.04,5.71,58.56410256410256,2024-10-15 01:18:44.028776978,2024-10-18 01:18:44.028776978,0-4oz
62182233842387,FedEx Ground,0.2839112621699396,4,9.29,4.140000000000001,5.149999999999999,55.435952637244334,2024-10-15 01:22:52.661870503,2024-10-18 01:22:52.661870503,4-8oz
1Z13979752,UPS Ground,0.05,5,9.68,3.94,5.74,59.29752066115703,2024-10-15 01:27:01.294964028,2024-10-18 01:27:01.294964028,0-4oz
1Z98462569,UPS Ground,0.10365465360072068,4,9.16,3.99,5.17,56.4410480349345,2024-10-15 01:31:09.928057553,2024-10-18 01:31:09.928057553,0-4oz
94574066749641832620,USPS Priority,0.13688316546625412,8,14.16,4.58,9.58,67.65536723163842,2024-10-15 01:35:18.561151079,2024-10-18 01:35:18.561151079,0-4oz
1Z26756359,UPS Ground,0.1826804063579325,5,9.85,4.04,5.81,58.98477157360406,2024-10-15 01:39:27.194244604,2024-10-18 01:39:27.194244604,0-4oz
94477600665414287397,USPS Priority,0.46138080330927356,7,13.93,4.56,9.370000000000001,67.264895908112,2024-10-15 01:43:35.827338129,2024-10-18 01:43:35.827338129,4-8oz
1Z13734626,UPS Ground,0.06682075863860708,6,10.29,4.119999999999999,6.17,59.96112730806609,2024-10-15 01:47:44.460431654,2024-10-18 01:47:44.460431654,0-4oz
1Z14010859,UPS Ground,0.2166087465099383,6,10.49,4.119999999999999,6.370000000000001,60.72449952335558,2024-10-15 01:51:53.093525179,2024-10-18 01:51:53.093525179,0-4oz
1Z43038693,UPS SurePost,0.26925141639292816,5,8.88,4.1899999999999995,4.690000000000001,52.815315315315324,2024-10-15 01:56:01.726618705,2024-10-18 01:56:01.726618705,4-8oz
16503693850310,FedEx SmartPost,0.05,4,8.04,3.89,4.149999999999999,51.616915422885555,2024-10-15 02:00:10.359712230,2024-10-18 02:00:10.359712230,0-4oz
23679604923505,FedEx Ground,0.280599906194883,3,8.69,4.05,4.64,53.39470655926352,2024-10-15 02:04:18.992805755,2024-10-18 02:04:18.992805755,4-8oz
1Z67903839,UPS Next Day Air,0.05608837559322492,4,39.9,4.1,35.8,89.72431077694235,2024-10-15 02:08:27.625899280,2024-10-18 02:08:27.625899280,0-4oz
1Z75306687,UPS Ground,0.05,1,7.33,3.73,3.6,49.113233287858115,2024-10-15 02:12:36.258992805,2024-10-18 02:12:36.258992805,0-4oz
62402038030964,FedEx Express,0.8921063380520792,4,42.3,4.6,37.699999999999996,89.12529550827422,2024-10-15 02:16:44.892086330,2024-10-18 02:16:44.892086330,8oz-1lb
1Z33826185,UPS Ground,1.0111891027383517,4,9.97,5.19,4.78,47.943831494483454,2024-10-15 02:20:53.525179856,2024-10-18 02:20:53.525179856,1-2lb
1Z71935458,UPS Next Day Air,0.495699471843863,4,41.97,4.35,37.62,89.63545389563974,2024-10-15 02:25:02.158273381,2024-10-18 02:25:02.158273381,4-8oz
59567397379689,FedEx Ground,0.10898635799062749,7,10.86,4.1899999999999995,6.67,61.418047882136285,2024-10-15 02:29:10.791366906,2024-10-18 02:29:10.791366906,0-4oz
15156905614509,FedEx SmartPost,0.05,6,9.08,4.02,5.0600000000000005,55.72687224669603,2024-10-15 02:33:19.424460431,2024-10-18 02:33:19.424460431,0-4oz
1Z35135214,UPS SurePost,0.3458252289295985,3,7.87,4.05,3.8200000000000003,48.53875476493012,2024-10-15 02:37:28.057553956,2024-10-18 02:37:28.057553956,4-8oz
1Z40591053,UPS Ground,0.1740272527756195,3,8.65,3.9,4.75,54.91329479768786,2024-10-15 02:41:36.690647482,2024-10-18 02:41:36.690647482,0-4oz
60854367228203,FedEx Express,0.05,4,38.89,4.1,34.79,89.45744407302648,2024-10-15 02:45:45.323741007,2024-10-18 02:45:45.323741007,0-4oz
1Z57488641,UPS Ground,0.20506416844024503,3,8.68,3.9,4.779999999999999,55.069124423963125,2024-10-15 02:49:53.956834532,2024-10-18 02:49:53.956834532,0-4oz
1Z37397153,UPS Ground,0.05,5,9.68,3.94,5.74,59.29752066115703,2024-10-15 02:54:02.589928057,2024-10-18 02:54:02.589928057,0-4oz
94904645327214,FedEx SmartPost,0.7201268662179071,4,8.64,4.390000000000001,4.25,49.18981481481482,2024-10-15 02:58:11.223021582,2024-10-18 02:58:11.223021582,8oz-1lb
1Z63429119,UPS Ground,0.08983733305220583,4,9.14,3.99,5.15,56.3457330415755,2024-10-15 03:02:19.856115107,2024-10-18 03:02:19.856115107,0-4oz
1Z34106473,UPS Ground,0.3258767395694941,6,10.62,4.27,6.35,59.792843691148775,2024-10-15 03:06:28.489208633,2024-10-18 03:06:28.489208633,4-8oz
52657536881344,FedEx Ground,0.1120639744972871,5,9.69,4.04,5.6499999999999995,58.30753353973168,2024-10-15 03:10:37.122302158,2024-10-18 03:10:37.122302158,0-4oz
87594564312458,FedEx SmartPost,0.22023326877276858,2,7.16,3.89,3.27,45.67039106145251,2024-10-15 03:14:45.755395683,2024-10-18 03:14:45.755395683,0-4oz
1Z79384443,UPS Ground,0.23736713939453924,5,9.92,4.04,5.88,59.2741935483871,2024-10-15 03:18:54.388489208,2024-10-18 03:18:54.388489208,0-4oz
31401556225835,FedEx Ground,0.061316579852371725,4,9.04,3.89,5.149999999999999,56.96902654867255,2024-10-15 03:23:03.021582733,2024-10-18 03:23:03.021582733,0-4oz
1Z95645453,UPS SurePost,1.047842139820868,3,8.35,5.1,3.25,38.92215568862276,2024-10-15 03:27:11.654676258,2024-10-18 03:27:11.654676258,1-2lb
1Z58285056,UPS Next Day Air,0.4476736131414422,2,36.39,4.24,32.15,88.34844737565265,2024-10-15 03:31:20.287769784,2024-10-18 03:31:20.287769784,4-8oz
94458731552837235525,USPS Priority,0.8415283257874747,4,12.05,4.6,7.450000000000001,61.82572614107884,2024-10-15 03:35:28.920863309,2024-10-18 03:35:28.920863309,8oz-1lb
46928891920962,FedEx SmartPost,0.6756455992602589,3,8.05,4.3,3.750000000000001,46.58385093167702,2024-10-15 03:39:37.553956834,2024-10-18 03:39:37.553956834,8oz-1lb
1Z86058925,UPS SurePost,0.2733163237149825,3,7.81,4.05,3.76,48.14340588988476,2024-10-15 03:43:46.187050359,2024-10-18 03:43:46.187050359,4-8oz
19320869429464,FedEx Ground,0.7648306137808215,5,10.35,4.4399999999999995,5.91,57.10144927536233,2024-10-15 03:47:54.820143884,2024-10-18 03:47:54.820143884,8oz-1lb
1Z46445422,UPS Ground,0.05,5,9.68,3.94,5.74,59.29752066115703,2024-10-15 03:52:03.453237410,2024-10-18 03:52:03.453237410,0-4oz
1Z72377488,UPS SurePost,0.06544040838938023,3,7.61,3.9,3.7100000000000004,48.75164257555848,2024-10-15 03:56:12.086330935,2024-10-18 03:56:12.086330935,0-4oz
