Weight_Range,Priority_Revenue,Expedited_Revenue,Ground_Revenue,Total_Revenue,Volume
1oz-15.99oz,2951.0,8989.2,2910.6,14850.800000000001,3026
1lb-1.99lbs,569.25,1743.75,574.2,2887.2,464
2lbs-2.99lbs,709.5,2162.5,712.8000000000001,3584.8,576
3lbs-3.99lbs,816.75,2475.0,816.75,4108.5,660
4lbs-4.99lbs,891.0,2706.25,891.0,4488.25,721
5lbs-5.99lbs,165.0,500.0,163.35,828.35,133
6lbs-6.99lbs,207.0,647.5,215.45000000000002,1069.95,123
7lbs-7.99lbs,310.5,945.0,312.75,1568.25,180
8lbs-8.99lbs,264.5,813.75,264.1,1342.35,154
9lbs-9.99lbs,356.5,1085.0,354.45,1795.95,206
10lbs-10.99lbs,103.5,341.25,111.2,555.95,64
11lbs-11.99lbs,90.75,275.0,89.10000000000001,454.85,73
12lbs-12.99lbs,82.5,250.0,84.15,416.65,67
13lbs-13.99lbs,90.75,281.25,94.05,466.05,75
14lbs-14.99lbs,82.5,250.0,84.15,416.65,67
15lbs-15.99lbs,90.75,287.5,94.05,472.3,76
16lbs-16.99lbs,126.5,402.5,132.05,661.05,76
17lbs-17.99lbs,126.5,393.75,125.10000000000001,645.35,74
18lbs-18.99lbs,103.5,341.25,111.2,555.95,64
19lbs-19.99lbs,115.0,358.75,118.15,591.9,68
20lbs-20.99lbs,115.0,358.75,118.15,591.9,68
21lbs-21.99lbs,66.0,206.25,69.3,341.55,55
22lbs-22.99lbs,66.0,212.5,69.3,347.8,56
23lbs-23.99lbs,66.0,212.5,69.3,347.8,56
24lbs-24.99lbs,57.75,187.5,59.400000000000006,304.65,49
25lbs,99.0,318.75,103.95,521.7,84
