Weight_Range,Priority_Volume,Expedited_Volume,Ground_Volume,Total_Volume,Percent_of_Total
1oz-15.99oz,454,1816,756,3026,41.37
1lb-1.99lbs,69,279,116,464,6.34
2lbs-2.99lbs,86,346,144,576,7.87
3lbs-3.99lbs,99,396,165,660,9.02
4lbs-4.99lbs,108,433,180,721,9.86
5lbs-5.99lbs,20,80,33,133,1.82
6lbs-6.99lbs,18,74,31,123,1.68
7lbs-7.99lbs,27,108,45,180,2.46
8lbs-8.99lbs,23,93,38,154,2.11
9lbs-9.99lbs,31,124,51,206,2.82
10lbs-10.99lbs,9,39,16,64,0.87
11lbs-11.99lbs,11,44,18,73,1.0
12lbs-12.99lbs,10,40,17,67,0.92
13lbs-13.99lbs,11,45,19,75,1.03
14lbs-14.99lbs,10,40,17,67,0.92
15lbs-15.99lbs,11,46,19,76,1.04
16lbs-16.99lbs,11,46,19,76,1.04
17lbs-17.99lbs,11,45,18,74,1.01
18lbs-18.99lbs,9,39,16,64,0.87
19lbs-19.99lbs,10,41,17,68,0.93
20lbs-20.99lbs,10,41,17,68,0.93
21lbs-21.99lbs,8,33,14,55,0.75
22lbs-22.99lbs,8,34,14,56,0.77
23lbs-23.99lbs,8,34,14,56,0.77
24lbs-24.99lbs,7,30,12,49,0.67
25lbs,12,51,21,84,1.15
SUBTOTAL: Under 1Lb,454,1816,756,3026,41.37
SUBTOTAL: 1 To 5Lbs,362,1454,605,2421,33.09
SUBTOTAL: 5 To 10Lbs,119,479,198,796,10.89
SUBTOTAL: 10 To 25Lbs,156,648,268,1072,14.67
GRAND TOTAL,1091,4397,1827,7315,100.0
