Location,Service_Level,Weight_LB,Shipment_Count
"Ladson, SC",Ground,1,51
"Ladson, SC",Ground,2,7
"Ladson, SC",Ground,3,10
"Ladson, SC",Ground,4,2
"Ladson, SC",Ground,5,7
"Ladson, SC",Ground,6,1
"Ladson, SC",Ground,8,1
"Ladson, SC",Ground,10,2
"Ladson, SC",Ground,18,3
"ONTARIO, CA",Ground,1,39
"ONTARIO, CA",Ground,2,208
"ONTARIO, CA",Ground,3,46
"ONTARIO, CA",Ground,4,32
"ONTARIO, CA",Ground,5,75
"ONTARIO, CA",Ground,6,10
"ONTARIO, CA",Ground,7,5
"ONTARIO, CA",Ground,8,11
"ONTARIO, CA",Ground,9,3
"ONTARIO, CA",Ground,10,14
"ONTARIO, CA",Ground,11,141
"ONTARIO, CA",Ground,12,5
"ONTARIO, CA",Ground,13,16
"ONTARIO, CA",Ground,14,5
"ONTARIO, CA",Ground,15,5
"ONTARIO, CA",Ground,16,29
"ONTARIO, CA",Ground,17,2
"ONTARIO, CA",Ground,18,101
"ONTARIO, CA",Ground,19,18
"ONTARIO, CA",Ground,20,1
"ONTARIO, CA",Ground,22,2
"ONTARIO, CA",Ground,23,12
"ONTARIO, CA",Ground,24,2
"ONTARIO, CA",Ground,25,15
"ONTARIO, CA",Ground,26,4
"ONTARIO, CA",Ground,27,1
"ONTARIO, CA",Ground,29,3
"ONTARIO, CA",Ground,35,1
"ONTARIO, CA",Ground,36,7
"ONTARIO, CA",Ground,37,68
"ONTARIO, CA",Ground,40,77
"ONTARIO, CA",Ground,44,1
"ONTARIO, CA",Ground,60,12
"ONTARIO, CA",Ground,69,47
"ONTARIO, CA",Ground,84,7
"ONTARIO, CA",Ground,88,34
"ONTARIO, CA",Ground,90,27
"ONTARIO, CA",Ground,104,1
"Florence, NJ",Ground,1,60
"Florence, NJ",Ground,2,81
"Florence, NJ",Ground,3,76
"Florence, NJ",Ground,4,132
"Florence, NJ",Ground,5,33
"Florence, NJ",Ground,6,121
"Florence, NJ",Ground,7,50
"Florence, NJ",Ground,8,33
"Florence, NJ",Ground,9,58
"Florence, NJ",Ground,10,16
"Florence, NJ",Ground,11,168
"Florence, NJ",Ground,12,48
"Florence, NJ",Ground,13,118
"Florence, NJ",Ground,14,30
"Florence, NJ",Ground,15,4
"Florence, NJ",Ground,16,19
"Florence, NJ",Ground,17,8
"Florence, NJ",Ground,18,257
"Florence, NJ",Ground,19,24
"Florence, NJ",Ground,20,14
"Florence, NJ",Ground,21,13
"Florence, NJ",Ground,22,67
"Florence, NJ",Ground,23,3
"Florence, NJ",Ground,24,1628
"Florence, NJ",Ground,25,99
"Florence, NJ",Ground,26,82
"Florence, NJ",Ground,27,70
"Florence, NJ",Ground,28,34
"Florence, NJ",Ground,29,14
"Florence, NJ",Ground,30,15
"Florence, NJ",Ground,31,53
"Florence, NJ",Ground,32,8
"Florence, NJ",Ground,33,8
"Florence, NJ",Ground,34,12
"Florence, NJ",Ground,35,15
"Florence, NJ",Ground,36,21
"Florence, NJ",Ground,37,9
"Florence, NJ",Ground,38,6
"Florence, NJ",Ground,39,15
"Florence, NJ",Ground,40,1
"Florence, NJ",Ground,41,6
"Florence, NJ",Ground,42,58
"Florence, NJ",Ground,43,9
"Florence, NJ",Ground,45,13
"Florence, NJ",Ground,46,1
"Florence, NJ",Ground,47,2
"Florence, NJ",Ground,48,672
"Florence, NJ",Ground,49,42
"Florence, NJ",Ground,50,28
"Florence, NJ",Ground,51,1
"Florence, NJ",Ground,52,1
"Florence, NJ",Ground,53,1
"Florence, NJ",Ground,56,1
"Florence, NJ",Ground,58,11
"Florence, NJ",Ground,59,7
"Florence, NJ",Ground,60,1
"Florence, NJ",Ground,84,1
"Ontario, CA",Ground,1,139
"Ontario, CA",Ground,2,228
"Ontario, CA",Ground,3,108
"Ontario, CA",Ground,4,149
"Ontario, CA",Ground,5,122
"Ontario, CA",Ground,6,89
"Ontario, CA",Ground,7,97
"Ontario, CA",Ground,8,30
"Ontario, CA",Ground,9,76
"Ontario, CA",Ground,10,43
"Ontario, CA",Ground,11,114
"Ontario, CA",Ground,12,34
"Ontario, CA",Ground,13,119
"Ontario, CA",Ground,14,29
"Ontario, CA",Ground,15,65
"Ontario, CA",Ground,16,67
"Ontario, CA",Ground,17,9
"Ontario, CA",Ground,18,289
"Ontario, CA",Ground,19,30
"Ontario, CA",Ground,20,12
"Ontario, CA",Ground,21,7
"Ontario, CA",Ground,22,59
"Ontario, CA",Ground,23,14
"Ontario, CA",Ground,24,1582
"Ontario, CA",Ground,25,110
"Ontario, CA",Ground,26,56
"Ontario, CA",Ground,27,124
"Ontario, CA",Ground,28,23
"Ontario, CA",Ground,29,9
"Ontario, CA",Ground,30,15
"Ontario, CA",Ground,31,8
"Ontario, CA",Ground,32,6
"Ontario, CA",Ground,33,5
"Ontario, CA",Ground,34,15
"Ontario, CA",Ground,35,20
"Ontario, CA",Ground,36,15
"Ontario, CA",Ground,37,225
"Ontario, CA",Ground,38,8
"Ontario, CA",Ground,39,14
"Ontario, CA",Ground,40,8
"Ontario, CA",Ground,41,1
"Ontario, CA",Ground,42,4
"Ontario, CA",Ground,43,1
"Ontario, CA",Ground,44,1
"Ontario, CA",Ground,45,14
"Ontario, CA",Ground,46,5
"Ontario, CA",Ground,47,1
"Ontario, CA",Ground,48,741
"Ontario, CA",Ground,49,16
"Ontario, CA",Ground,50,9
"Ontario, CA",Ground,70,189
"Plantation, FL",Ground,5,1
"Plantation, FL",Ground,6,1
"Plantation, FL",Ground,7,2
"Plantation, FL",Ground,10,1
"Plantation, FL",Ground,11,1
"Plantation, FL",Ground,14,2
"Plantation, FL",Ground,16,1
"Plantation, FL",Ground,17,1
"Plantation, FL",Ground,18,2
"Plantation, FL",Ground,20,3
"Plantation, FL",Ground,23,1
"Plantation, FL",Ground,24,1
"Plantation, FL",Ground,26,2
"Plantation, FL",Ground,27,2
"Plantation, FL",Ground,28,1
"Plantation, FL",Ground,32,1
"Plantation, FL",Ground,33,1
"Atlanta, GA",Ground,3,7
"Atlanta, GA",Ground,4,2
"Atlanta, GA",Ground,5,489
"Atlanta, GA",Ground,8,25
"Atlanta, GA",Ground,9,110
"Atlanta, GA",Ground,10,124
"Atlanta, GA",Ground,12,69
"Atlanta, GA",Ground,17,114
"Atlanta, GA",Ground,18,7
"Atlanta, GA",Ground,19,67
"Atlanta, GA",Ground,22,73
"Atlanta, GA",Ground,23,99
"Atlanta, GA",Ground,26,15
"Atlanta, GA",Ground,27,4
"Atlanta, GA",Ground,29,5
"Atlanta, GA",Ground,36,1
"Atlanta, GA",Ground,37,744
"Atlanta, GA",Ground,40,24
"Atlanta, GA",Ground,42,1
"Atlanta, GA",Ground,43,3
"Atlanta, GA",Ground,48,1
"Memphis, TN",Ground,1,1
"Memphis, TN",Ground,11,155
"Memphis, TN",Ground,17,1
"Memphis, TN",Ground,22,10
"Memphis, TN",Ground,26,26
"Memphis, TN",Ground,34,6
"Janesville, WI",Ground,1,4
"Janesville, WI",Ground,2,10
"Janesville, WI",Ground,4,10
"Janesville, WI",Ground,5,4
"Janesville, WI",Ground,6,1
"Janesville, WI",Ground,9,1
"New York, NY",Ground,18,1
"North Bergen, NJ",Ground,24,1
"Riverside, CA",Ground,48,1
"Brooklyn, NY",Ground,70,1
"Studio City, CA",Ground,24,1
"Lake Forest, IL",Ground,48,1
"Edmonds, WA",Ground,24,1
"Perris, CA",Ground,7,8
"Perris, CA",Ground,15,49
"Perris, CA",Ground,20,26
"Holbrook, MA",Ground,60,1
"Washington, DC",Ground,24,1
"Manhattan Beach, CA",Ground,24,1
"Dacula, GA",Ground,48,1
"Lacey, WA",Ground,24,1
"Peyton, CO",Ground,48,1
"Smithville, TX",Ground,24,1
"South Riding, VA",Ground,6,1
