TransactionDate,OrginZip,DestZip,Weight,WeightUnit,ServiceDesc
9/23/2024,43125,12962,1.16,L,Mail Innovations
9/23/2024,43125,29349,1.03,L,Mail Innovations
9/23/2024,43125,75033,1.01,L,Mail Innovations
9/23/2024,43125,98675,1.02,L,Mail Innovations
9/23/2024,43125,7052,1.12,L,Mail Innovations
9/23/2024,43125,59725,1.46,L,Mail Innovations
9/23/2024,43125,77306,1.24,L,Mail Innovations
9/25/2024,43125,93306,1.05,L,Mail Innovations
9/25/2024,43125,99163,1.08,L,Mail Innovations
9/25/2024,43125,46208,1.12,L,Mail Innovations
9/27/2024,43125,44102,1.05,L,Mail Innovations
9/27/2024,43125,21222,1.06,L,Mail Innovations
9/27/2024,43125,5401,1.08,L,Mail Innovations
9/27/2024,43125,60190,1.1,L,Mail Innovations
9/27/2024,43125,70003,1.1,L,Mail Innovations
9/23/2024,43125,60563,0.42,L,Mail Innovations
9/23/2024,43125,21230,0.84,L,Mail Innovations
9/23/2024,43125,11413,0.67,L,Mail Innovations
9/23/2024,43125,17552,0.84,L,Mail Innovations
9/23/2024,43125,32819,0.43,L,Mail Innovations
9/23/2024,43125,98103,0.43,L,Mail Innovations
9/23/2024,43125,32812,0.6,L,Mail Innovations
9/23/2024,43125,30458,0.83,L,Mail Innovations
9/23/2024,43125,87107,0.52,L,Mail Innovations
9/23/2024,43125,59859,0.86,L,Mail Innovations
9/23/2024,43125,10011,0.4,L,Mail Innovations
9/23/2024,43125,43016,0.84,L,Mail Innovations
9/23/2024,43125,78130,0.98,L,Mail Innovations
9/23/2024,43125,2143,0.84,L,Mail Innovations
9/23/2024,43125,53024,0.56,L,Mail Innovations
9/23/2024,43125,30606,0.56,L,Mail Innovations
9/23/2024,43125,2135,0.94,L,Mail Innovations
9/23/2024,43125,31401,0.56,L,Mail Innovations
9/23/2024,43125,73160,0.88,L,Mail Innovations
9/23/2024,43125,33178,0.9,L,Mail Innovations
9/23/2024,43125,85045,0.44,L,Mail Innovations
9/23/2024,43125,77474,0.42,L,Mail Innovations
9/23/2024,43125,63361,0.48,L,Mail Innovations
9/23/2024,43125,85144,0.09,L,Mail Innovations
9/23/2024,43125,26003,0.09,L,Mail Innovations
9/23/2024,43125,32607,0.08,L,Mail Innovations
9/23/2024,43125,75206,0.08,L,Mail Innovations
9/23/2024,43125,80223,0.12,L,Mail Innovations
9/23/2024,43125,68046,0.09,L,Mail Innovations
