Zone,Weight (lb),count,mode,median,mean
1.0,0.02,15,3.82,3.82,3.94
1.0,0.025,4,3.82,4.11,4.11
1.0,0.055,1,3.82,3.82,3.82
1.0,0.058125,3,3.82,3.83,4.01
1.0,0.069375,48,3.83,3.83,4.19
1.0,0.07375,1,3.83,3.83,3.83
1.0,0.075,1,3.83,3.83,3.83
1.0,0.113125,2,3.83,4.11,4.11
1.0,0.135,2,3.83,3.83,3.83
1.0,0.15875,1,3.83,3.83,3.83
1.0,0.215,1,3.84,3.84,3.84
1.0,0.21625,10,3.84,3.84,4.0
1.0,0.22125,4,3.84,3.84,3.98
1.0,0.225,2,3.84,3.84,3.84
1.0,0.235,1,3.84,3.84,3.84
1.0,0.265,14,3.86,3.86,4.83
1.0,0.309375,2,3.85,3.86,3.86
1.0,0.320625,1,3.86,3.86,3.86
1.0,0.385,5,3.87,3.87,4.09
1.0,0.39,9,3.86,3.87,4.11
1.0,0.41625,9,3.86,3.86,3.98
1.0,0.4175,1,3.87,3.87,3.87
1.0,0.450625,3,3.87,3.87,4.05
1.0,0.4575,1,3.87,3.87,3.87
1.0,0.46125,16,3.87,3.87,4.69
1.0,0.505625,1,4.52,4.52,4.52
1.0,0.53125,3,4.52,4.53,4.71
1.0,0.57125,2,4.52,4.53,4.53
1.0,0.595,2,4.52,4.53,4.53
1.0,0.69875,1,5.25,5.25,5.25
1.0,0.74,1,4.55,4.55,4.55
1.0,0.765,6,4.64,4.64,4.76
1.0,0.77,2,4.64,4.64,4.64
1.0,0.81625,8,4.64,4.64,4.73
1.0,1.145,1,4.9,4.9,4.9
1.0,1.159375,1,4.92,4.92,4.92
1.0,1.20375,1,4.92,4.92,4.92
1.0,1.27,2,4.9,4.91,4.91
1.0,1.29,1,5.78,5.78,5.78
1.0,1.36375,4,4.92,4.92,4.92
1.0,1.396875,1,4.92,4.92,4.92
1.0,1.4,1,4.92,4.92,4.92
1.0,1.43875,1,4.9,4.9,4.9
1.0,1.445625,1,4.9,4.9,4.9
1.0,1.61625,4,4.9,4.91,5.12
1.0,1.665,4,4.9,5.74,7.03
1.0,1.94,1,4.9,4.9,4.9
1.0,13.20625,1,14.65,14.65,14.65
2.0,0.02,11,3.83,3.84,3.88
2.0,0.025,1,4.38,4.38,4.38
2.0,0.058125,4,3.84,3.84,3.97
2.0,0.069375,64,3.84,3.84,4.57
2.0,0.09125,1,3.84,3.84,3.84
2.0,0.113125,6,3.84,3.84,6.31
2.0,0.1175,2,3.84,10.14,10.14
