Shipping Label ID,Weight (lb),State,Label Cost,FirstMile_Cost,Savings,Savings_Pct
495076139,0.65125,IN,5.74,5.13,0.6100000000000003,10.6
495076834,0.069375,AR,4.4,4.07,0.33000000000000007,7.5
495076938,0.65125,WA,4.97,3.97,0.9999999999999996,20.1
495077336,0.225,CA,3.85,3.39,0.45999999999999996,11.9
495077361,0.4575,IN,4.44,4.35,0.09000000000000075,2.0
495077850,0.069375,MA,3.87,3.32,0.5500000000000003,14.2
495078283,0.225,MD,3.88,4.07,-0.1900000000000004,-4.9
495078291,0.168125,OH,4.41,4.07,0.33999999999999986,7.7
495079129,0.225,CA,4.4,3.39,1.0100000000000002,23.0
495079741,0.125,AR,4.4,4.07,0.33000000000000007,7.5
495080153,0.125,TX,4.4,3.29,1.1100000000000003,25.2
495080614,0.225,MI,3.86,4.07,-0.2100000000000004,-5.4
495080906,0.069375,DE,3.87,4.07,-0.20000000000000018,-5.2
495081469,0.125,TN,3.86,4.07,-0.2100000000000004,-5.4
495081845,0.135,MO,3.85,4.07,-0.2200000000000002,-5.7
495082467,0.26125,ID,3.86,4.22,-0.3599999999999999,-9.3
495082892,1.36375,WI,6.74,6.4,0.33999999999999986,5.0
495083358,0.265,OR,3.86,4.24,-0.38000000000000034,-9.8
495083812,0.069375,UT,3.83,3.87,-0.040000000000000036,-1.0
495084386,0.46125,VA,3.91,4.35,-0.4399999999999995,-11.3
495084416,0.26125,TN,3.87,4.35,-0.47999999999999954,-12.4
495085073,0.069375,NY,4.42,3.32,1.1,24.9
495085711,0.46125,WA,4.44,3.53,0.9100000000000006,20.5
495086356,0.069375,NV,3.84,3.92,-0.08000000000000007,-2.1
495086861,0.069375,GA,3.86,3.32,0.54,14.0
495087376,0.113125,CA,3.84,3.29,0.5499999999999998,14.3
495088003,1.05,NJ,7.3,5.82,1.4799999999999995,20.3
495088525,0.4575,WA,3.89,3.53,0.3600000000000003,9.3
495089152,0.265,WA,3.87,3.44,0.43000000000000016,11.1
495089329,1.05,CA,5.1,5.27,-0.16999999999999993,-3.3
495089693,0.069375,PA,3.87,4.07,-0.20000000000000018,-5.2
495090118,0.069375,WA,3.85,3.29,0.56,14.5
495090778,0.26125,TX,3.87,3.48,0.3900000000000001,10.1
495090878,0.595,CA,4.71,3.91,0.7999999999999998,17.0
495091251,0.065,WA,4.4,3.29,1.1100000000000003,25.2
495091724,1.36375,OH,6.89,6.4,0.4899999999999993,7.1
495092425,0.26125,LA,3.88,4.35,-0.46999999999999975,-12.1
495092572,0.125,MI,3.86,4.07,-0.2100000000000004,-5.4
495092864,0.069375,CO,4.39,3.92,0.46999999999999975,10.7
495092892,0.125,WY,4.39,3.92,0.46999999999999975,10.7
495093209,0.22125,CA,3.85,3.39,0.45999999999999996,11.9
495093268,0.225,UT,3.84,3.87,-0.03000000000000025,-0.8
495093577,0.1175,VA,4.42,4.07,0.34999999999999964,7.9
495093846,0.125,FL,3.87,3.32,0.5500000000000003,14.2
495094407,0.46125,FL,3.91,3.68,0.22999999999999998,5.9
495094620,0.49,TX,3.89,3.61,0.28000000000000025,7.2
495094922,0.265,UT,3.85,4.14,-0.2899999999999996,-7.5
495095318,0.058125,OK,3.84,4.02,-0.17999999999999972,-4.7
495095411,0.225,CA,3.85,3.39,0.45999999999999996,11.9
495096129,0.069375,MN,3.85,4.07,-0.2200000000000002,-5.7
495096730,0.069375,TX,3.85,3.29,0.56,14.5
495096778,0.515,TN,5.1,5.1,0.0,0.0
495097183,0.075,FL,3.87,3.32,0.5500000000000003,14.2
495097682,0.075,HI,6.06,4.07,1.9899999999999993,32.8
495097752,0.46125,WA,3.89,3.53,0.3600000000000003,9.3
495098233,0.075,FL,3.87,3.32,0.5500000000000003,14.2
495098390,0.46125,CO,3.88,4.22,-0.33999999999999986,-8.8
495099159,0.399375,OH,3.89,4.35,-0.4599999999999995,-11.8
495100274,0.069375,IL,3.85,3.32,0.5300000000000002,13.8
495101000,0.265,AZ,4.41,3.39,1.02,23.1
495101636,0.09125,PA,4.41,4.07,0.33999999999999986,7.7
495102093,0.069375,WI,3.85,4.07,-0.2200000000000002,-5.7
495102600,0.069375,GA,3.86,3.32,0.54,14.0
495103297,0.46125,CA,3.88,3.53,0.3500000000000001,9.0
495103751,1.15875,,6.89,6.4,0.4899999999999993,7.1
495104184,0.46125,TN,4.45,4.35,0.10000000000000053,2.2
495104580,0.125,CA,3.84,3.29,0.5499999999999998,14.3
495104770,0.069375,MT,4.39,3.93,0.4599999999999995,10.5
495105154,0.125,ID,4.38,3.92,0.45999999999999996,10.5
495105413,0.4575,CA,3.88,3.53,0.3500000000000001,9.0
495106336,0.4175,CA,3.87,3.52,0.3500000000000001,9.0
495106945,0.46125,NY,3.91,3.68,0.22999999999999998,5.9
495107446,0.025,NE,3.84,4.02,-0.17999999999999972,-4.7
495108105,0.46125,IL,4.44,3.68,0.7600000000000002,17.1
495108206,0.069375,MN,4.4,4.07,0.33000000000000007,7.5
495108572,0.069375,PA,3.86,4.07,-0.2100000000000004,-5.4
495108956,0.46125,NY,3.91,3.68,0.22999999999999998,5.9
495108962,0.069375,MN,4.4,4.07,0.33000000000000007,7.5
495109384,0.265,MA,3.89,3.52,0.3700000000000001,9.5
495109523,0.265,TX,3.87,3.48,0.3900000000000001,10.1
495109759,0.125,TX,3.85,3.29,0.56,14.5
