UPSTATE PREP - VOLUME BY WEIGHT AND SERVICE LEVEL
Copy and paste directly into Excel

Weight	Xparcel Priority	Xparcel Expedited	Xparcel Ground	Total
1oz	0	2	90	92
2oz	0	3	377	380
3oz	0	8	885	893
4oz	1	42	784	827
5oz	0	25	314	339
6oz	0	15	175	190
7oz	0	15	646	661
8oz	0	33	828	861
9oz	0	20	343	363
10oz	1	1	142	144
11oz	0	7	133	140
12oz	1	6	74	81
13oz	1	4	82	87
14oz	0	2	35	37
15oz	0	2	49	51
15.99oz	2	15	430	447
16oz	1	9	64	74
32oz	3	33	428	464
48oz	1	19	787	807
64oz	0	12	972	984
80oz	1	11	421	433
96oz	2	14	334	350
112oz	0	5	150	155
128oz	0	1	141	142
144oz	0	7	90	97
160oz	0	2	206	208
176oz	1	9	104	114
192oz	0	6	58	64
208oz	0	4	46	50
224oz	0	13	44	57
240oz	0	7	44	51
256oz	0	3	39	42
272oz	0	10	40	50
288oz	0	5	31	36
304oz	0	11	85	96
320oz	1	8	48	57
336oz	0	13	37	50
352oz	0	8	25	33
368oz	0	6	28	34
384oz	0	2	34	36
400oz	0	6	18	24
TOTAL	16	424	9661	10101
