Location,Service,Weight_LBS,Count
"Florence, NJ",Ground,24,1628
"Ontario, CA",Ground,24,1584
"Ontario, CA",Ground,48,741
"Florence, NJ",Ground,48,672
"Ontario, CA",Ground,2,442
"Ontario, CA",Ground,18,392
"Ontario, CA",Ground,37,293
"Ontario, CA",Ground,11,262
"Florence, NJ",Ground,18,257
"Ontario, CA",Ground,5,197
"Ontario, CA",Ground,70,192
"Ontario, CA",Ground,4,182
"Ontario, CA",Ground,1,178
"Florence, NJ",Ground,11,168
"Ontario, CA",Ground,3,156
"Ontario, CA",Ground,13,135
"Florence, NJ",Ground,4,132
"Ontario, CA",Ground,25,126
"Ontario, CA",Ground,27,125
"Florence, NJ",Ground,6,121
"Florence, NJ",Ground,13,118
"Ontario, CA",Ground,7,102
"Ontario, CA",Ground,6,99
"Florence, NJ",Ground,25,99
"Ontario, CA",Ground,16,97
"Ontario, CA",Ground,40,85
"Florence, NJ",Ground,26,82
"Florence, NJ",Ground,2,81
"Ontario, CA",Ground,9,79
"Florence, NJ",Ground,3,76
"Ontario, CA",Ground,15,70
"Florence, NJ",Ground,27,70
"Florence, NJ",Ground,22,67
"Ontario, CA",Ground,22,61
"Ontario, CA",Ground,26,61
"Florence, NJ",Ground,1,60
"Florence, NJ",Ground,9,58
"Florence, NJ",Ground,42,58
"Ontario, CA",Ground,10,57
"Florence, NJ",Ground,31,53
"Ladson, SC",Ground,1,51
"Florence, NJ",Ground,7,50
"Florence, NJ",Ground,12,48
"Ontario, CA",Ground,19,48
"Ontario, CA",Ground,69,48
"Florence, NJ",Ground,49,42
"Ontario, CA",Ground,8,41
"Ontario, CA",Ground,12,39
"Ontario, CA",Ground,88,35
"Ontario, CA",Ground,14,34
"Florence, NJ",Ground,28,34
"Florence, NJ",Ground,5,33
"Florence, NJ",Ground,8,33
"Florence, NJ",Ground,14,30
"Florence, NJ",Ground,50,28
"Ontario, CA",Ground,90,28
"Ontario, CA",Ground,23,26
"Florence, NJ",Ground,19,24
"Ontario, CA",Ground,28,23
"Ontario, CA",Ground,36,22
"Ontario, CA",Ground,35,21
"Florence, NJ",Ground,36,21
"Florence, NJ",Ground,0,20
"Florence, NJ",Ground,16,19
"Florence, NJ",Ground,10,16
"Ontario, CA",Ground,49,16
"Ontario, CA",Ground,30,15
"Florence, NJ",Ground,30,15
"Ontario, CA",Ground,34,15
"Florence, NJ",Ground,35,15
"Florence, NJ",Ground,39,15
"Florence, NJ",Ground,20,14
"Florence, NJ",Ground,29,14
"Ontario, CA",Ground,39,14
"Ontario, CA",Ground,45,14
"Ontario, CA",Ground,20,13
"Florence, NJ",Ground,21,13
"Florence, NJ",Ground,45,13
"Ontario, CA",Ground,29,12
"Florence, NJ",Ground,34,12
"Ontario, CA",Ground,60,12
"Ontario, CA",Ground,17,11
"Florence, NJ",Ground,58,11
"Ontario, CA",Ground,0,10
"Ladson, SC",Ground,3,10
"Florence, NJ",Ground,37,9
"Florence, NJ",Ground,43,9
"Ontario, CA",Ground,50,9
"Florence, NJ",Ground,17,8
"Ontario, CA",Priority,24,8
"Ontario, CA",Ground,31,8
"Florence, NJ",Ground,32,8
"Florence, NJ",Ground,33,8
"Ontario, CA",Ground,38,8
"Ladson, SC",Ground,2,7
"Ladson, SC",Ground,5,7
"Ontario, CA",Expedited,11,7
"Ontario, CA",Ground,21,7
"Ontario, CA",Expedited,24,7
"Florence, NJ",Ground,59,7
"Ontario, CA",Ground,84,7
"Ontario, CA",Ground,32,6
"Florence, NJ",Ground,38,6
"Florence, NJ",Ground,41,6
"Ontario, CA",Expedited,70,6
"Ontario, CA",Ground,33,5
"Ontario, CA",Ground,46,5
"Ontario, CA",Expedited,2,4
"Ontario, CA",Priority,7,4
"Florence, NJ",Ground,15,4
"Ontario, CA",Priority,16,4
"Ontario, CA",Priority,27,4
"Ontario, CA",Ground,42,4
"Ladson, SC",Ground,18,3
"Florence, NJ",Ground,23,3
"Ontario, CA",Expedited,48,3
"Ladson, SC",Ground,4,2
"Ontario, CA",Expedited,7,2
"Ladson, SC",Ground,10,2
"Ontario, CA",Expedited,16,2
"Ontario, CA",Expedited,27,2
"Ontario, CA",Ground,44,2
"Florence, NJ",Ground,47,2
"Ontario, CA",Priority,1,1
"Ontario, CA",Expedited,1,1
"Ontario, CA",Expedited,3,1
"Ladson, SC",Ground,6,1
"Ladson, SC",Ground,8,1
"Ontario, CA",Expedited,10,1
"Ontario, CA",Expedited,18,1
"Ontario, CA",Priority,22,1
"Florence, NJ",Ground,40,1
"Ontario, CA",Ground,41,1
"Ontario, CA",Ground,43,1
"Florence, NJ",Ground,46,1
"Ontario, CA",Ground,47,1
"Florence, NJ",Ground,51,1
"Florence, NJ",Ground,52,1
"Florence, NJ",Ground,53,1
"Florence, NJ",Ground,56,1
"Florence, NJ",Ground,60,1
"Florence, NJ",Ground,84,1
"Ontario, CA",Ground,104,1
