ship_date,carrier,carrier_service,destination_postal_code,zone,weight,dimensions
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,08360-4815,8,1.5 lb,12×5×6 in
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,46163-0205,6,1.5 lb,12×5×6 in
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,01543-1340,8,1.5 lb,12×5×6 in
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,07001-2056,8,1.5 lb,12×5×6 in
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,76664-1423,5,1.5 lb,12×5×6 in
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,82201-3728,4,1.5 lb,12×5×6 in
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,31322-8406,7,1.5 lb,12×5×6 in
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,33161-5032,8,1.5 lb,12×5×6 in
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,17053-1118,7,1.5 lb,12×5×6 in
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,92009-2210,5,1.5 lb,12×5×6 in
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,85353-4560,4,1.5 lb,12×5×6 in
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,67228-8939,5,1.5 lb,12×5×6 in
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,43228-2914,7,1.5 lb,12×5×6 in
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,52340-0140,5,1.5 lb,12×5×6 in
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,35244-2905,6,1.5 lb,12×5×6 in
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,84663-3222,2,1.5 lb,12×5×6 in
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,31548-5721,7,1.5 lb,12×5×6 in
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,95621-2026,5,1.5 lb,12×5×6 in
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,33624-5021,8,1.5 lb,12×5×6 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,95020-8229,5,1.5 lb,12×5×6 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,64089-9103,5,1.5 lb,12×5×6 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,23464-7432,8,1.5 lb,12×5×6 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,15477-0367,7,1.5 lb,12×5×6 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,93252-9706,4,1.5 lb,12×5×6 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,92867-1849,5,1.5 lb,12×5×6 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,28655-6261,7,1.5 lb,12×5×6 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,54449-4297,6,1.5 lb,12×5×6 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,63026-5232,6,9.00 oz,10×7×1 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,35601-6451,6,1.5 lb,12×6×6 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,46112-7049,6,1.5 lb,12×6×6 in
