ship_date,carrier,carrier_service,destination_postal_code,zone,weight,dimensions
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,92553-3284,4,1.9 lb,12×5×6 in
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,79932-1810,5,1.9 lb,12×5×6 in
2025-09-09T00:00:00.000Z,USPS,GroundAdvantage,78245-3229,6,1.9 lb,12×5×6 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,91942-4603,5,1.5 lb,12×5×6 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,92878-4610,5,1.9 lb,12×5×6 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,89128-2617,4,2.5 lb,12×5×6 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,85254-0114,4,1.9 lb,12×5×6 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,91752-3665,4,2.00 oz,15×11×1 in
2025-09-10T00:00:00.000Z,UPS,Ground,92672,,6.2 lb,21×9×18 in
2025-09-10T00:00:00.000Z,UPS,Ground,85379-6181,,6.2 lb,21×9×18 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,92592-3296,4,3.50 oz,15×11×1 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,92503-4258,4,2.10 oz,15×11×1 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,48042-1503,7,4.5 lb,12×9×6 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,94080-2445,5,5.50 oz,15×11×1 in
2025-09-10T00:00:00.000Z,UPS,Ground,10029-4917,,6.2 lb,21×9×18 in
2025-09-10T00:00:00.000Z,UPS,Ground,70129-2400,,6.2 lb,21×9×18 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,91752-1558,4,10.00 oz,15×11×1 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,79346-4102,5,1.5 lb,12×5×6 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,68107-3126,5,3.00 oz,15×11×1 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,92108-1167,5,3.00 oz,15×11×1 in
2025-09-10T00:00:00.000Z,FedExSmartPost,SMART_POST,29207-6005,,1.5 lb,12×5×6 in
2025-09-10T00:00:00.000Z,UPS,Ground,48209-2733,,6.2 lb,21×9×18 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,88220-8017,5,4.00 oz,15×11×1 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,92102-4519,5,3.50 oz,15×11×1 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,97222-5223,5,3.0 lb,12×9×6 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,99752,8,4.00 oz,15×11×1 in
2025-09-10T00:00:00.000Z,FedExSmartPost,SMART_POST,85142-9638,,1.5 lb,12×5×6 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,78634-2300,5,3.0 lb,12×9×6 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,91911-2506,5,4.50 oz,15×11×1 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,78240-4026,6,6.50 oz,15×11×1 in
2025-09-10T00:00:00.000Z,UPS,Ground,95060-9315,,6.2 lb,21×9×18 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,92675-1206,5,3.0 lb,12×9×6 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,78616-3468,5,4.00 oz,15×11×1 in
2025-09-10T00:00:00.000Z,USPS,GroundAdvantage,34113,8,3.00 oz,15×11×1 in
